Level,Name,Value,Description
0,"CPU","598 Registers","CPU Registers"
 1,"Core","25 Registers","CPU registers"
 1,"Core_S","8 Registers","Secure CPU registers"
 1,"Core_NS","8 Registers","Non-Secure CPU registers"
 1,"FPU","33 Registers","FPU Registers"
 1,"FPU (Double)","17 Registers","FPU Registers (double-precision)"
 1,"Peripherals","507 Registers","Memory-Mapped CPU Registers"
0,"Peripherals","16876 Registers","Memory-Mapped Registers"
 1,"ADC","152 Registers",
  2,"ADC1","38 Registers","Analog-to-digital converters"
   3,"ADC_ISR",0x00000001,"ADC interrupt and status register"
    4,"ADRDY","B_0x1(1)","ADC ready"
    4,"EOSMP","B_0x0(0)","End of sampling flag"
    4,"EOC","B_0x0(0)","End of conversion flag"
    4,"EOS","B_0x0(0)","End of regular sequence flag"
    4,"OVR","B_0x0(0)","ADC overrun"
    4,"JEOC","B_0x0(0)","Injected channel end of conversion flag"
    4,"JEOS","B_0x0(0)","Injected channel end of sequence flag"
    4,"AWD1","B_0x0(0)","Analog watchdog 1 flag"
    4,"AWD2","B_0x0(0)","Analog watchdog 2 flag"
    4,"AWD3","B_0x0(0)","Analog watchdog 3 flag"
    4,"JQOVF","B_0x0(0)","Injected context queue overflow"
   3,"ADC_IER",0x00000000,"ADC interrupt enable register"
   3,"ADC_CR",0x00000001,"ADC control register"
    4,"ADEN","B_0x1(1)","ADC enable control"
    4,"ADDIS","B_0x0(0)","ADC disable command"
    4,"ADSTART","B_0x0(0)","ADC start of regular conversion"
    4,"JADSTART","B_0x0(0)","ADC start of injected conversion"
    4,"ADSTP","B_0x0(0)","ADC stop of regular conversion command"
    4,"JADSTP","B_0x0(0)","ADC stop of injected conversion command"
    4,"DEEPPWD","B_0x0(0)","Deep-power-down enable"
    4,"ADCALDIF","B_0x0(0)","Differential mode for calibration"
    4,"ADCAL","B_0x0(0)","ADC calibration"
   3,"ADC_CFGR1",0x800010E0,"ADC configuration register"
    4,"DMNGT","B_0x0(b'00)","Data management configuration"
    4,"RES","B_0x0(b'00)","Data resolution"
    4,"EXTSEL","B_0x7(b'00111)","External trigger selection for regular group"
    4,"EXTEN","B_0x0(b'00)","External trigger enable and polarity selection for regular channels"
    4,"OVRMOD","B_0x1(1)","Overrun mode"
    4,"CONT","B_0x0(0)","Single / Continuous conversion mode for regular conversions"
    4,"AUTDLY","B_0x0(0)","Delayed conversion mode"
    4,"DISCEN","B_0x0(0)","Discontinuous mode for regular channels"
    4,"DISCNUM","B_0x0(b'000)","Discontinuous mode channel count"
    4,"JDISCEN","B_0x0(0)","Discontinuous mode on injected channels"
    4,"JQM","B_0x0(0)","JSQR queue mode"
    4,"AWD1SGL","B_0x0(0)","Enable the watchdog 1 on a single channel or on all channels"
    4,"AWD1EN","B_0x0(0)","Analog watchdog 1 enable on regular channels"
    4,"JAWD1EN","B_0x0(0)","Analog watchdog 1 enable on injected channels"
    4,"JAUTO","B_0x0(0)","Automatic injected group conversion"
    4,"AWD1CH","B_0x0(b'00000)","Analog watchdog 1 channel selection"
    4,"JQDIS","B_0x1(1)","Injected queue disable"
   3,"ADC_CFGR2",0x00000000,"ADC configuration register 2"
   3,"ADC_SMPR1",0x00000038,"ADC sample time register 1"
    4,"SMP0","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP1","B_0x7(b'111)","Channel x sampling time selection"
    4,"SMP2","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP3","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP4","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP5","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP6","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP7","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP8","B_0x0(b'000)","Channel x sampling time selection"
    4,"SMP9","B_0x0(b'000)","Channel x sampling time selection"
